Sale_ID,Brand,Model,Country,Storage,Color,Price_USD,Units_Sold,Revenue_USD,Customer_Rating,Payment_Method,Sale_Month,Sale_Year
22,Apple,Apple Model 13,USA,64GB,White,641,8,5128,3.1,Cash,1,2025
23,Apple,Apple Model 17,India,512GB,Black,747,14,10458,3.6,Cash,9,2025
24,OnePlus,OnePlus Model 20,France,512GB,Silver,601,13,7813,4.5,Debit Card,3,2025
25,OnePlus,OnePlus Model 18,Canada,64GB,Silver,726,6,4356,4.4,Online Payment,12,2025
26,Google,Google Model 6,France,64GB,White,1032,10,10320,3.7,Credit Card,8,2025
27,Google,Google Model 4,Canada,256GB,White,610,2,1220,3.4,Installments,3,2025
28,Huawei,Huawei Model 17,UK,256GB,Green,1395,6,8370,4.5,Credit Card,12,2025
29,Realme,Realme Model 2,India,256GB,Black,1270,15,19050,3.1,Online Payment,11,2025
30,Realme,Realme Model 2,Canada,128GB,Silver,493,4,1972,4.4,Installments,1,2025
31,Vivo,Vivo Model 18,France,256GB,Silver,1176,15,17640,4.1,Installments,2,2025
32,Google,Google Model 11,France,256GB,Silver,512,3,1536,3.6,Credit Card,11,2025
33,Huawei,Huawei Model 2,France,256GB,White,817,12,9804,4.6,Debit Card,3,2025
34,Realme,Realme Model 17,Pakistan,256GB,Gold,493,12,5916,3.2,Debit Card,11,2025
35,Motorola,Motorola Model 4,France,64GB,Green,916,1,916,3.1,Debit Card,8,2025
36,Apple,Apple Model 13,Pakistan,128GB,Green,1218,4,4872,4.8,Installments,9,2025
37,Vivo,Vivo Model 10,Saudi Arabia,128GB,Blue,1038,1,1038,3.7,Online Payment,6,2025
38,Samsung,Samsung Model 20,Australia,128GB,Black,859,20,17180,4.6,Cash,3,2025
39,Realme,Realme Model 16,Canada,256GB,White,708,6,4248,4.5,Debit Card,2,2025
40,OnePlus,OnePlus Model 17,Pakistan,512GB,Gold,555,18,9990,3.2,Credit Card,2,2025
41,Xiaomi,Xiaomi Model 3,Pakistan,128GB,White,1186,2,2372,3.0,Online Payment,12,2025
42,Google,Google Model 2,UAE,512GB,Black,744,10,7440,4.7,Installments,3,2025
43,OnePlus,OnePlus Model 13,USA,64GB,Black,1152,12,13824,4.5,Cash,2,2025
44,Realme,Realme Model 5,Canada,256GB,Green,1264,6,7584,4.6,Cash,12,2025
45,Xiaomi,Xiaomi Model 16,France,128GB,Blue,306,10,3060,4.5,Credit Card,1,2025
46,Realme,Realme Model 12,India,128GB,Blue,1250,16,20000,4.7,Installments,12,2025
47,Google,Google Model 6,Saudi Arabia,256GB,Black,560,7,3920,3.3,Online Payment,7,2025
48,Vivo,Vivo Model 9,USA,512GB,Black,705,4,2820,4.7,Debit Card,9,2025
49,Xiaomi,Xiaomi Model 10,Germany,256GB,White,907,1,907,3.6,Installments,1,2025
50,Oppo,Oppo Model 16,Germany,512GB,Silver,314,8,2512,4.0,Credit Card,7,2025
51,Apple,Apple Model 12,France,512GB,Blue,1278,19,24282,4.2,Cash,7,2025
52,Realme,Realme Model 1,Australia,512GB,Gold,695,20,13900,5.0,Online Payment,6,2025
53,Motorola,Motorola Model 20,UAE,512GB,Blue,1300,18,23400,4.2,Debit Card,7,2025
54,Huawei,Huawei Model 8,UK,512GB,Silver,1409,1,1409,4.1,Installments,7,2025
55,Huawei,Huawei Model 11,India,512GB,Black,1159,11,12749,3.8,Online Payment,10,2025
56,Google,Google Model 7,Pakistan,256GB,Silver,1489,17,25313,4.0,Installments,3,2025
57,Google,Google Model 4,USA,64GB,Black,496,6,2976,3.8,Credit Card,12,2025
58,OnePlus,OnePlus Model 6,Pakistan,128GB,Green,1102,14,15428,4.6,Online Payment,10,2025
59,Google,Google Model 5,Saudi Arabia,256GB,Green,481,7,3367,3.4,Debit Card,4,2025
60,OnePlus,OnePlus Model 13,Saudi Arabia,64GB,Black,473,1,473,3.2,Cash,11,2025
61,Google,Google Model 20,USA,512GB,Gold,668,20,13360,3.1,Debit Card,3,2025
62,OnePlus,OnePlus Model 11,USA,128GB,Gold,1325,16,21200,4.0,Installments,1,2025
63,Google,Google Model 11,UAE,512GB,Black,428,15,6420,4.9,Credit Card,6,2025
64,Realme,Realme Model 18,Germany,128GB,Gold,567,7,3969,4.8,Credit Card,8,2025
65,Samsung,Samsung Model 16,Saudi Arabia,64GB,Black,973,14,13622,3.9,Credit Card,11,2025
66,Apple,Apple Model 5,Australia,256GB,Green,460,18,8280,4.3,Debit Card,3,2025
67,Samsung,Samsung Model 8,France,256GB,Gold,1442,2,2884,3.3,Debit Card,9,2025
68,Google,Google Model 12,Canada,512GB,Green,1242,4,4968,4.8,Debit Card,11,2025
69,Google,Google Model 17,India,512GB,Gold,797,8,6376,4.2,Online Payment,7,2025
70,Huawei,Huawei Model 7,Pakistan,256GB,Gold,1057,9,9513,4.9,Cash,9,2025
71,OnePlus,OnePlus Model 13,India,512GB,Green,1052,2,2104,4.7,Cash,9,2025
72,Realme,Realme Model 7,Australia,256GB,Silver,534,20,10680,4.5,Cash,10,2025
73,Huawei,Huawei Model 7,Canada,128GB,Green,991,20,19820,4.9,Credit Card,1,2025
74,Motorola,Motorola Model 20,France,64GB,Blue,1272,7,8904,3.4,Online Payment,4,2025
75,Motorola,Motorola Model 6,UK,256GB,Green,754,8,6032,4.9,Credit Card,1,2025
76,Motorola,Motorola Model 7,India,128GB,Green,335,2,670,3.6,Cash,11,2025
77,Vivo,Vivo Model 11,France,512GB,Blue,631,12,7572,4.4,Cash,12,2025
78,Realme,Realme Model 5,UK,256GB,Blue,908,7,6356,4.6,Credit Card,2,2025
79,OnePlus,OnePlus Model 9,Australia,128GB,White,1121,11,12331,4.1,Online Payment,6,2025
80,Apple,Apple Model 8,UAE,256GB,Green,1500,8,12000,4.4,Online Payment,12,2025
81,Samsung,Samsung Model 13,Pakistan,128GB,White,342,4,1368,3.2,Online Payment,11,2025
82,Samsung,Samsung Model 4,UAE,128GB,Green,1324,9,11916,4.5,Online Payment,8,2025
83,Huawei,Huawei Model 7,UAE,64GB,Green,984,10,9840,4.3,Installments,6,2025
84,Apple,Apple Model 15,UAE,256GB,Gold,1458,6,8748,3.9,Cash,12,2025
85,OnePlus,OnePlus Model 4,Pakistan,256GB,Black,1454,6,8724,3.2,Cash,12,2025
86,Oppo,Oppo Model 14,Saudi Arabia,128GB,Black,1142,16,18272,4.0,Debit Card,4,2025
87,Apple,Apple Model 13,UAE,128GB,Gold,913,9,8217,3.6,Debit Card,5,2025
88,Oppo,Oppo Model 1,USA,128GB,Blue,1315,9,11835,4.2,Installments,9,2025
89,Samsung,Samsung Model 14,USA,512GB,Gold,1167,13,15171,3.5,Debit Card,6,2025
90,OnePlus,OnePlus Model 7,UAE,256GB,Silver,1002,3,3006,3.4,Debit Card,5,2025
91,Apple,Apple Model 5,USA,64GB,Gold,790,16,12640,3.2,Debit Card,6,2025
92,Vivo,Vivo Model 7,USA,512GB,Silver,1335,6,8010,4.7,Installments,4,2025
93,Huawei,Huawei Model 2,Germany,512GB,Gold,866,12,10392,3.6,Cash,6,2025
94,Google,Google Model 1,UAE,128GB,Green,1443,1,1443,4.2,Online Payment,7,2025
95,Realme,Realme Model 6,Canada,512GB,Green,992,17,16864,4.6,Installments,10,2025
96,Vivo,Vivo Model 5,Canada,256GB,Blue,332,16,5312,4.8,Credit Card,12,2025
97,Samsung,Samsung Model 12,Canada,128GB,White,1382,12,16584,4.7,Installments,1,2025
98,Oppo,Oppo Model 2,USA,256GB,White,414,20,8280,4.4,Credit Card,4,2025
99,Google,Google Model 15,UK,512GB,Black,383,12,4596,4.8,Cash,7,2025
100,OnePlus,OnePlus Model 6,UAE,512GB,Green,1120,10,11200,3.4,Credit Card,3,2025
101,Oppo,Oppo Model 8,USA,64GB,Black,1255,2,2510,3.9,Installments,3,2025
102,OnePlus,OnePlus Model 17,France,256GB,Silver,704,8,5632,4.8,Cash,4,2025
103,Vivo,Vivo Model 8,Saudi Arabia,256GB,White,878,7,6146,4.2,Debit Card,4,2025
104,Xiaomi,Xiaomi Model 13,Germany,64GB,Gold,772,10,7720,3.9,Debit Card,8,2025
105,Motorola,Motorola Model 6,India,512GB,Silver,415,12,4980,3.1,Installments,9,2025
106,Huawei,Huawei Model 4,Pakistan,256GB,Gold,782,13,10166,3.7,Credit Card,7,2025
107,OnePlus,OnePlus Model 11,Pakistan,64GB,Blue,412,19,7828,3.6,Installments,6,2025
108,Vivo,Vivo Model 20,India,64GB,Blue,1481,10,14810,3.0,Installments,2,2025
109,Xiaomi,Xiaomi Model 18,Saudi Arabia,256GB,Black,838,2,1676,4.6,Online Payment,1,2025
110,Vivo,Vivo Model 17,Australia,512GB,Green,471,9,4239,4.6,Credit Card,7,2025
111,Google,Google Model 2,UAE,256GB,Blue,1440,19,27360,5.0,Cash,5,2025
112,Vivo,Vivo Model 10,India,128GB,Blue,858,12,10296,4.2,Debit Card,6,2025
113,Google,Google Model 14,USA,64GB,Green,507,12,6084,4.0,Credit Card,11,2025
114,Samsung,Samsung Model 15,India,64GB,Green,572,17,9724,4.0,Online Payment,7,2025
115,Realme,Realme Model 12,Saudi Arabia,64GB,Silver,1346,3,4038,3.7,Installments,2,2025
116,Xiaomi,Xiaomi Model 15,Germany,256GB,Green,825,9,7425,3.9,Credit Card,6,2025
117,Motorola,Motorola Model 10,India,256GB,Green,445,14,6230,3.9,Online Payment,8,2025
118,Motorola,Motorola Model 18,Germany,128GB,White,1463,1,1463,4.3,Credit Card,10,2025
119,Xiaomi,Xiaomi Model 6,France,256GB,Blue,1205,3,3615,3.4,Installments,1,2025
120,Huawei,Huawei Model 11,Saudi Arabia,512GB,Green,723,9,6507,3.6,Installments,7,2025
121,Vivo,Vivo Model 7,Pakistan,512GB,Gold,1235,6,7410,4.7,Cash,11,2025
122,OnePlus,OnePlus Model 13,Pakistan,256GB,Silver,1274,11,14014,3.4,Credit Card,7,2025
123,Vivo,Vivo Model 20,Pakistan,64GB,Black,1310,15,19650,4.6,Debit Card,3,2025
124,Samsung,Samsung Model 11,Canada,64GB,Silver,1374,3,4122,4.5,Debit Card,3,2025
125,Oppo,Oppo Model 3,Pakistan,64GB,Black,918,20,18360,3.7,Installments,12,2025
126,Huawei,Huawei Model 18,Australia,256GB,Gold,966,6,5796,3.2,Debit Card,5,2025
127,Xiaomi,Xiaomi Model 17,India,128GB,White,501,2,1002,4.3,Debit Card,4,2025
128,Apple,Apple Model 20,Saudi Arabia,256GB,Blue,1224,20,24480,3.5,Installments,10,2025
129,OnePlus,OnePlus Model 1,Australia,128GB,Gold,1489,16,23824,3.3,Installments,3,2025
130,OnePlus,OnePlus Model 3,UAE,512GB,Green,1403,17,23851,3.4,Debit Card,6,2025
131,Google,Google Model 16,UK,512GB,Green,1088,7,7616,3.6,Online Payment,3,2025
132,Vivo,Vivo Model 5,Pakistan,64GB,Blue,579,7,4053,3.8,Online Payment,1,2025
133,Google,Google Model 14,Australia,256GB,Gold,707,18,12726,3.4,Online Payment,5,2025
134,Oppo,Oppo Model 13,France,512GB,Black,1137,2,2274,3.1,Debit Card,4,2025
135,Realme,Realme Model 9,India,256GB,Green,388,7,2716,3.0,Cash,1,2025
136,Xiaomi,Xiaomi Model 11,Germany,256GB,Blue,612,14,8568,4.9,Debit Card,8,2025
137,Apple,Apple Model 10,Canada,256GB,Silver,1021,20,20420,4.5,Debit Card,7,2025
138,Oppo,Oppo Model 17,UAE,512GB,Blue,503,20,10060,3.4,Online Payment,11,2025
139,Samsung,Samsung Model 7,Pakistan,128GB,Gold,516,8,4128,3.1,Installments,11,2025
140,OnePlus,OnePlus Model 7,UK,128GB,Gold,1482,10,14820,4.6,Cash,6,2025
141,Apple,Apple Model 6,Australia,512GB,Green,499,8,3992,4.8,Online Payment,4,2025
142,Xiaomi,Xiaomi Model 14,India,256GB,White,458,1,458,4.7,Debit Card,4,2025
143,Xiaomi,Xiaomi Model 14,Australia,128GB,Black,494,15,7410,3.9,Credit Card,2,2025
144,Realme,Realme Model 18,Saudi Arabia,128GB,Gold,500,3,1500,4.6,Debit Card,7,2025
145,OnePlus,OnePlus Model 6,France,256GB,Green,1376,2,2752,3.6,Installments,10,2025
146,Oppo,Oppo Model 14,Australia,64GB,Silver,456,20,9120,3.1,Cash,4,2025
147,Realme,Realme Model 2,Australia,512GB,Gold,655,18,11790,4.9,Credit Card,4,2025
148,Vivo,Vivo Model 18,India,256GB,Silver,354,14,4956,4.4,Cash,7,2025
149,Motorola,Motorola Model 13,Canada,64GB,Green,812,20,16240,4.5,Debit Card,10,2025
150,Oppo,Oppo Model 7,UK,256GB,Gold,1118,7,7826,4.7,Cash,5,2025
151,Google,Google Model 16,USA,128GB,Gold,1457,8,11656,3.4,Cash,11,2025
152,Motorola,Motorola Model 20,USA,64GB,Green,1014,12,12168,4.0,Debit Card,12,2025
153,Samsung,Samsung Model 6,Germany,128GB,Blue,1057,3,3171,4.9,Debit Card,9,2025
154,OnePlus,OnePlus Model 7,UAE,256GB,Gold,1203,16,19248,3.1,Online Payment,6,2025
155,Oppo,Oppo Model 7,UK,256GB,Green,1240,2,2480,4.1,Installments,8,2025
156,Oppo,Oppo Model 14,Saudi Arabia,128GB,Black,419,2,838,4.5,Online Payment,3,2025
157,Apple,Apple Model 11,Pakistan,128GB,Gold,524,13,6812,3.0,Credit Card,11,2025
158,Vivo,Vivo Model 19,Pakistan,512GB,Silver,749,3,2247,3.7,Installments,1,2025
159,Vivo,Vivo Model 4,France,512GB,Gold,1014,16,16224,3.9,Debit Card,11,2025
160,Vivo,Vivo Model 18,Pakistan,512GB,Black,649,12,7788,3.7,Online Payment,9,2025
161,Google,Google Model 14,France,256GB,Silver,570,4,2280,3.4,Cash,4,2025
162,Oppo,Oppo Model 11,Australia,256GB,White,1186,14,16604,4.2,Credit Card,11,2025
163,Samsung,Samsung Model 17,India,512GB,Green,588,15,8820,3.8,Cash,4,2025
164,OnePlus,OnePlus Model 16,USA,64GB,Gold,1443,20,28860,3.5,Online Payment,3,2025
165,Realme,Realme Model 7,Saudi Arabia,64GB,White,465,5,2325,4.0,Credit Card,10,2025
166,Realme,Realme Model 16,Saudi Arabia,64GB,Gold,841,12,10092,4.6,Online Payment,1,2025
167,Oppo,Oppo Model 3,UK,512GB,Green,460,12,5520,3.6,Installments,11,2025
168,Samsung,Samsung Model 4,Canada,512GB,Gold,1472,4,5888,3.8,Installments,1,2025
169,Google,Google Model 12,UAE,256GB,Black,378,13,4914,3.2,Installments,3,2025
170,Xiaomi,Xiaomi Model 11,Saudi Arabia,256GB,White,710,7,4970,4.8,Installments,8,2025
171,Oppo,Oppo Model 1,India,64GB,Blue,903,9,8127,4.3,Online Payment,11,2025
172,Samsung,Samsung Model 14,Pakistan,512GB,Black,548,17,9316,4.4,Credit Card,8,2025
173,Huawei,Huawei Model 10,UAE,256GB,White,782,12,9384,3.3,Debit Card,5,2025
174,Vivo,Vivo Model 3,Australia,256GB,Green,675,18,12150,4.7,Credit Card,7,2025
175,Oppo,Oppo Model 14,France,128GB,Blue,646,19,12274,4.3,Installments,3,2025
176,Apple,Apple Model 7,UAE,512GB,Black,1009,3,3027,3.8,Debit Card,11,2025
177,Huawei,Huawei Model 5,Pakistan,128GB,Gold,1388,10,13880,4.4,Installments,2,2025
178,Google,Google Model 6,Pakistan,256GB,Blue,642,4,2568,4.8,Credit Card,11,2025
179,Google,Google Model 12,USA,64GB,White,1217,13,15821,3.6,Cash,2,2025
180,Realme,Realme Model 12,UK,512GB,Gold,477,7,3339,4.5,Credit Card,6,2025
181,Realme,Realme Model 6,Germany,128GB,Silver,1023,1,1023,3.9,Installments,1,2025
182,Apple,Apple Model 6,Australia,64GB,Green,786,5,3930,4.0,Credit Card,1,2025
183,Apple,Apple Model 7,Pakistan,128GB,White,497,7,3479,3.5,Credit Card,12,2025
184,Xiaomi,Xiaomi Model 6,India,512GB,Black,921,1,921,4.0,Cash,3,2025
185,Apple,Apple Model 2,Pakistan,128GB,Gold,1433,9,12897,5.0,Credit Card,4,2025
186,Huawei,Huawei Model 6,India,128GB,Gold,1222,8,9776,4.2,Credit Card,2,2025
187,Apple,Apple Model 13,UK,256GB,Blue,1279,16,20464,4.9,Debit Card,3,2025
188,Xiaomi,Xiaomi Model 14,UAE,512GB,White,1275,19,24225,4.9,Credit Card,1,2025
189,Xiaomi,Xiaomi Model 10,Canada,128GB,Blue,391,7,2737,5.0,Debit Card,9,2025
190,Realme,Realme Model 8,UK,256GB,Green,361,1,361,3.8,Credit Card,8,2025
191,Motorola,Motorola Model 13,Saudi Arabia,64GB,Green,1132,11,12452,3.4,Cash,8,2025
192,Google,Google Model 20,Australia,512GB,Black,715,17,12155,4.8,Credit Card,7,2025
193,Oppo,Oppo Model 16,Saudi Arabia,512GB,Blue,1148,8,9184,4.5,Credit Card,1,2025
194,Samsung,Samsung Model 19,Canada,128GB,Gold,1251,12,15012,3.0,Debit Card,9,2025
195,Oppo,Oppo Model 13,USA,64GB,Blue,1041,17,17697,4.9,Installments,10,2025
196,OnePlus,OnePlus Model 1,USA,512GB,Green,547,12,6564,4.5,Installments,7,2025
197,OnePlus,OnePlus Model 19,Pakistan,512GB,Gold,858,18,15444,5.0,Cash,11,2025
198,Realme,Realme Model 7,India,128GB,Black,585,15,8775,3.5,Online Payment,11,2025
199,Huawei,Huawei Model 3,Germany,128GB,Blue,1379,6,8274,4.4,Online Payment,10,2025
200,OnePlus,OnePlus Model 19,Australia,256GB,Silver,741,18,13338,4.1,Online Payment,2,2025
201,Xiaomi,Xiaomi Model 13,USA,128GB,Silver,452,15,6780,3.2,Credit Card,2,2025
202,Huawei,Huawei Model 3,USA,512GB,Gold,843,3,2529,5.0,Credit Card,7,2025
203,Samsung,Samsung Model 13,India,256GB,Green,650,5,3250,4.1,Online Payment,4,2025
204,Xiaomi,Xiaomi Model 20,Germany,512GB,Green,1332,12,15984,3.8,Cash,10,2025
205,Apple,Apple Model 14,UK,128GB,White,322,6,1932,4.0,Installments,9,2025
206,Xiaomi,Xiaomi Model 20,Canada,512GB,Gold,500,19,9500,3.1,Installments,3,2025
207,Samsung,Samsung Model 19,UK,64GB,Silver,1198,6,7188,3.8,Cash,6,2025
208,Vivo,Vivo Model 7,Saudi Arabia,128GB,Silver,1087,18,19566,3.8,Debit Card,3,2025
209,Samsung,Samsung Model 15,India,64GB,White,1306,18,23508,3.8,Online Payment,10,2025
210,Huawei,Huawei Model 18,Germany,256GB,Blue,1084,17,18428,3.6,Online Payment,6,2025
211,Motorola,Motorola Model 17,Canada,128GB,Black,822,20,16440,4.9,Cash,6,2025
212,Realme,Realme Model 8,France,512GB,Black,460,18,8280,3.4,Debit Card,6,2025
213,Apple,Apple Model 16,Australia,512GB,Black,483,15,7245,3.6,Cash,5,2025
214,OnePlus,OnePlus Model 13,France,512GB,Silver,898,13,11674,4.3,Cash,11,2025
215,Realme,Realme Model 16,Australia,256GB,Silver,959,7,6713,3.4,Cash,2,2025
216,Realme,Realme Model 15,UAE,128GB,Black,966,20,19320,3.7,Credit Card,9,2025
217,Vivo,Vivo Model 14,USA,128GB,Gold,525,1,525,3.7,Cash,5,2025
218,Apple,Apple Model 10,France,64GB,White,1135,5,5675,3.6,Online Payment,9,2025
219,Huawei,Huawei Model 4,USA,512GB,Gold,1005,2,2010,3.4,Credit Card,5,2025
220,Vivo,Vivo Model 14,Pakistan,512GB,White,719,11,7909,4.8,Cash,9,2025
221,Motorola,Motorola Model 14,USA,128GB,Blue,344,8,2752,4.0,Installments,2,2025
222,OnePlus,OnePlus Model 18,Pakistan,512GB,Blue,467,20,9340,3.8,Debit Card,2,2025
223,Google,Google Model 15,Germany,64GB,Green,1405,18,25290,4.7,Online Payment,10,2025
224,Huawei,Huawei Model 16,Germany,256GB,Silver,988,14,13832,4.6,Credit Card,1,2025
225,Vivo,Vivo Model 1,UAE,512GB,Gold,387,10,3870,4.6,Debit Card,7,2025
226,Motorola,Motorola Model 8,UK,512GB,Gold,1115,15,16725,4.2,Credit Card,12,2025
227,Oppo,Oppo Model 14,Canada,256GB,Green,343,10,3430,3.9,Installments,1,2025
228,Apple,Apple Model 18,India,256GB,Gold,474,13,6162,3.3,Cash,11,2025
229,Samsung,Samsung Model 3,Australia,64GB,Silver,682,9,6138,3.9,Debit Card,2,2025
230,Xiaomi,Xiaomi Model 7,Saudi Arabia,256GB,Silver,501,14,7014,4.4,Cash,4,2025
231,Huawei,Huawei Model 14,Canada,512GB,Gold,1173,16,18768,4.9,Debit Card,10,2025
232,Oppo,Oppo Model 3,UK,64GB,White,1084,3,3252,3.6,Installments,12,2025
233,Xiaomi,Xiaomi Model 20,Germany,256GB,Silver,647,16,10352,4.7,Online Payment,8,2025
234,Motorola,Motorola Model 17,Germany,128GB,Black,393,13,5109,4.0,Cash,3,2025
235,Huawei,Huawei Model 10,Canada,64GB,White,877,10,8770,3.1,Debit Card,11,2025
236,Huawei,Huawei Model 12,UK,128GB,Silver,917,16,14672,3.6,Cash,8,2025
237,Realme,Realme Model 16,UAE,128GB,Blue,1050,5,5250,4.4,Debit Card,6,2025
238,Motorola,Motorola Model 5,Saudi Arabia,128GB,Blue,1487,10,14870,3.0,Credit Card,7,2025
239,Motorola,Motorola Model 15,USA,128GB,Black,1234,6,7404,4.2,Online Payment,7,2025
240,Apple,Apple Model 15,Canada,256GB,Blue,1071,3,3213,4.8,Credit Card,6,2025
241,Motorola,Motorola Model 1,France,256GB,Green,318,11,3498,4.5,Online Payment,6,2025
242,OnePlus,OnePlus Model 8,Canada,128GB,Blue,922,10,9220,3.8,Credit Card,6,2025
243,Realme,Realme Model 14,UAE,64GB,Blue,1245,17,21165,3.4,Cash,10,2025
244,Xiaomi,Xiaomi Model 4,France,256GB,White,713,19,13547,3.2,Credit Card,5,2025
245,Vivo,Vivo Model 14,Saudi Arabia,128GB,Silver,813,4,3252,3.8,Installments,3,2025
246,Google,Google Model 15,Canada,512GB,Blue,1069,12,12828,3.8,Installments,10,2025
247,Samsung,Samsung Model 4,India,512GB,Green,947,17,16099,3.7,Cash,6,2025
248,Google,Google Model 17,Australia,64GB,Black,1474,7,10318,4.7,Cash,4,2025
249,Apple,Apple Model 9,France,128GB,Green,1135,9,10215,3.5,Cash,8,2025
250,Google,Google Model 20,India,512GB,Black,1050,5,5250,3.0,Debit Card,7,2025
251,Motorola,Motorola Model 1,France,64GB,Black,1216,4,4864,4.5,Credit Card,6,2025
252,OnePlus,OnePlus Model 14,Saudi Arabia,512GB,Blue,592,5,2960,4.4,Online Payment,10,2025
253,Motorola,Motorola Model 13,France,256GB,Gold,734,7,5138,4.6,Cash,12,2025
254,Vivo,Vivo Model 7,Saudi Arabia,256GB,Gold,888,10,8880,4.2,Online Payment,8,2025
255,Xiaomi,Xiaomi Model 12,USA,512GB,Black,530,7,3710,4.3,Online Payment,8,2025
256,Google,Google Model 14,Saudi Arabia,128GB,White,319,9,2871,3.3,Online Payment,12,2025
257,Apple,Apple Model 20,Australia,64GB,Green,322,18,5796,3.3,Cash,1,2025
258,Samsung,Samsung Model 2,India,512GB,Blue,889,12,10668,3.3,Cash,7,2025
259,Huawei,Huawei Model 18,Germany,64GB,Blue,986,10,9860,4.3,Online Payment,9,2025
260,Vivo,Vivo Model 17,France,64GB,Gold,1500,11,16500,3.5,Online Payment,5,2025
261,Samsung,Samsung Model 7,Saudi Arabia,64GB,Silver,1083,18,19494,3.7,Cash,9,2025
262,Apple,Apple Model 18,Germany,128GB,Green,1340,16,21440,3.1,Credit Card,8,2025
263,Vivo,Vivo Model 10,Pakistan,64GB,White,1089,13,14157,3.1,Online Payment,6,2025
264,Apple,Apple Model 15,Germany,128GB,Blue,581,12,6972,4.7,Installments,5,2025
265,Oppo,Oppo Model 11,Saudi Arabia,64GB,Gold,1341,7,9387,4.2,Installments,9,2025
266,Motorola,Motorola Model 20,UK,64GB,Silver,1087,18,19566,3.5,Online Payment,9,2025
267,Oppo,Oppo Model 8,USA,128GB,White,1094,13,14222,3.2,Debit Card,5,2025
268,Samsung,Samsung Model 16,Saudi Arabia,512GB,Silver,1247,12,14964,4.1,Credit Card,10,2025
269,Oppo,Oppo Model 5,Pakistan,128GB,Green,715,3,2145,4.3,Online Payment,2,2025
270,Oppo,Oppo Model 1,UAE,128GB,Blue,1015,8,8120,4.0,Credit Card,7,2025
271,Motorola,Motorola Model 12,Canada,128GB,White,1066,13,13858,3.6,Online Payment,5,2025
272,Apple,Apple Model 8,France,128GB,Silver,1436,7,10052,4.8,Cash,12,2025
273,Realme,Realme Model 18,France,128GB,White,327,8,2616,4.0,Installments,6,2025
274,Oppo,Oppo Model 14,Germany,128GB,Blue,727,17,12359,3.7,Installments,1,2025
275,Vivo,Vivo Model 12,France,256GB,Silver,1361,16,21776,3.5,Online Payment,3,2025
276,Google,Google Model 17,India,256GB,Green,687,18,12366,3.2,Credit Card,3,2025
277,Xiaomi,Xiaomi Model 9,USA,64GB,Gold,736,15,11040,3.2,Cash,12,2025
278,Realme,Realme Model 1,India,256GB,White,645,12,7740,3.2,Debit Card,7,2025
279,Vivo,Vivo Model 17,UAE,64GB,White,889,4,3556,3.4,Credit Card,1,2025
280,Motorola,Motorola Model 5,UAE,64GB,Black,1329,4,5316,3.7,Installments,7,2025
281,Huawei,Huawei Model 20,UAE,512GB,White,1109,3,3327,4.9,Credit Card,7,2025
282,Apple,Apple Model 18,Saudi Arabia,64GB,White,673,4,2692,4.4,Cash,1,2025
283,Apple,Apple Model 18,UK,128GB,Gold,1406,9,12654,3.1,Online Payment,9,2025
