col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50
Home,987,562,Home,997,867,Sports,616,765,Books,270,777,Clothing,30,520,Books,794,981,Books,489,472,Clothing,249,321,Electronics,390,644,Home,688,30,Electronics,579,684,Books,202,693,Books,56,132,Electronics,571,40,Clothing,698,759,Home,431,535,Electronics,237
Electronics,734,605,Electronics,561,492,Books,623,381,Books,468,344,Sports,969,211,Home,170,528,Sports,528,687,Electronics,755,353,Electronics,778,967,Clothing,578,295,Clothing,580,196,Home,237,838,Electronics,41,693,Sports,658,187,Books,226,437,Electronics,819,18,Sports,854
Electronics,115,892,Home,923,580,Clothing,773,403,Books,874,259,Home,653,101,Clothing,577,340,Sports,312,143,Sports,446,383,Clothing,381,971,Home,277,783,Books,318,466,Electronics,424,941,Clothing,880,375,Electronics,770,938,Electronics,646,544,Home,688,214,Sports,741
Books,949,822,Sports,396,170,Clothing,660,303,Sports,493,919,Home,103,456,Electronics,127,766,Books,170,248,Clothing,262,207,Electronics,831,513,Electronics,152,287,Books,611,291,Sports,40,88,Sports,365,50,Clothing,149,330,Books,937,363,Sports,212,668,Electronics,11
Books,670,902,Sports,186,322,Clothing,477,166,Clothing,988,12,Books,65,47,Home,486,870,Clothing,280,441,Home,188,562,Home,401,959,Clothing,677,9,Home,214,764,Electronics,402,702,Electronics,12,18,Home,570,489,Books,923,824,Electronics,771,906,Books,31
Clothing,259,945,Books,221,172,Books,651,761,Electronics,584,553,Electronics,375,280,Clothing,234,291,Books,965,52,Sports,149,522,Books,151,679,Home,492,146,Clothing,20,349,Clothing,80,763,Clothing,248,934,Home,468,490,Books,685,333,Home,615,396,Home,223
Home,763,407,Books,518,284,Clothing,840,906,Clothing,376,428,Home,231,322,Home,51,36,Clothing,287,28,Books,329,30,Electronics,540,548,Clothing,976,725,Home,111,973,Home,498,963,Books,255,611,Electronics,404,352,Home,384,87,Clothing,40,684,Electronics,571
Home,122,732,Sports,300,619,Home,924,266,Home,564,698,Clothing,642,29,Sports,478,593,Electronics,99,952,Sports,765,717,Clothing,132,613,Home,261,959,Home,705,469,Books,49,418,Home,665,843,Sports,262,533,Electronics,86,719,Electronics,96,756,Electronics,86
Books,299,846,Clothing,175,366,Sports,433,355,Books,965,523,Electronics,23,396,Sports,831,677,Sports,395,457,Clothing,573,944,Electronics,544,42,Clothing,965,540,Electronics,590,654,Sports,750,570,Sports,871,429,Sports,292,886,Home,119,902,Books,396,131,Books,26
Home,775,334,Sports,791,111,Home,169,553,Electronics,693,659,Clothing,290,49,Books,501,87,Home,130,33,Books,826,230,Sports,312,504,Books,138,563,Home,578,953,Books,685,361,Clothing,348,425,Electronics,881,496,Electronics,125,731,Clothing,226,337,Sports,562
Home,381,20,Electronics,371,78,Clothing,402,55,Home,501,443,Clothing,321,624,Clothing,215,686,Clothing,341,860,Electronics,273,187,Books,129,722,Electronics,739,946,Clothing,945,820,Home,262,155,Books,671,115,Sports,852,125,Books,642,269,Sports,489,878,Sports,792
Electronics,561,205,Home,970,698,Books,158,229,Books,819,73,Clothing,617,709,Sports,130,950,Clothing,967,842,Books,232,602,Books,133,197,Sports,360,833,Electronics,237,530,Clothing,49,262,Home,584,143,Electronics,618,712,Sports,110,137,Sports,661,102,Electronics,148
Books,889,603,Sports,866,253,Sports,384,224,Electronics,973,165,Home,42,321,Home,772,35,Electronics,974,883,Electronics,136,25,Home,972,168,Electronics,872,78,Home,95,69,Electronics,63,55,Sports,674,374,Books,870,875,Home,77,113,Sports,238,83,Books,246
Sports,841,956,Sports,509,236,Home,398,760,Clothing,130,138,Books,170,77,Books,602,183,Sports,337,665,Electronics,451,481,Sports,384,40,Books,24,897,Home,668,969,Sports,310,225,Books,486,216,Electronics,734,777,Electronics,932,737,Electronics,116,703,Books,12
Books,501,355,Home,876,93,Clothing,56,886,Home,560,329,Home,837,103,Sports,62,646,Sports,994,708,Electronics,636,362,Electronics,302,55,Clothing,980,519,Clothing,64,47,Electronics,785,308,Clothing,345,738,Sports,417,869,Electronics,400,89,Books,692,662,Home,717
Sports,297,173,Home,204,642,Books,73,199,Sports,462,33,Home,423,8,Books,43,321,Sports,547,927,Clothing,136,15,Home,769,763,Home,1,337,Electronics,763,424,Clothing,849,129,Electronics,861,332,Electronics,321,109,Electronics,874,621,Home,918,590,Books,125
Electronics,362,189,Electronics,608,695,Clothing,970,627,Electronics,945,717,Books,992,635,Clothing,558,127,Clothing,190,141,Sports,89,730,Books,710,328,Sports,237,138,Sports,918,96,Home,885,885,Electronics,971,209,Electronics,418,948,Clothing,454,171,Clothing,709,831,Home,910
Clothing,589,824,Home,282,34,Home,760,253,Electronics,699,148,Sports,202,822,Sports,782,872,Sports,694,154,Electronics,730,436,Clothing,634,206,Home,239,880,Electronics,820,52,Home,6,617,Sports,82,695,Sports,699,604,Sports,354,250,Clothing,540,279,Clothing,548
Home,463,2,Books,647,481,Home,473,714,Clothing,835,940,Clothing,534,787,Sports,108,961,Sports,709,291,Clothing,609,62,Sports,964,566,Books,47,623,Clothing,393,769,Sports,550,207,Home,337,515,Sports,611,622,Books,261,761,Sports,334,73,Sports,279
Electronics,438,873,Sports,416,404,Sports,180,555,Clothing,80,331,Sports,472,750,Electronics,590,746,Home,563,391,Sports,386,181,Clothing,734,171,Home,569,461,Clothing,435,951,Clothing,200,933,Sports,801,669,Clothing,419,596,Electronics,329,463,Books,179,829,Home,1
Home,127,941,Home,33,815,Books,603,678,Home,137,745,Clothing,762,924,Electronics,555,506,Clothing,124,770,Electronics,610,986,Books,139,706,Home,144,658,Sports,981,683,Home,840,378,Books,875,130,Home,75,54,Electronics,275,336,Sports,700,76,Home,330
Clothing,197,168,Electronics,82,222,Electronics,194,155,Sports,615,349,Sports,35,522,Clothing,385,3,Clothing,124,823,Electronics,99,246,Books,465,293,Home,954,900,Clothing,714,39,Electronics,140,680,Clothing,212,522,Sports,572,508,Clothing,965,109,Clothing,633,710,Home,240
Clothing,221,368,Home,483,886,Clothing,707,800,Books,2,623,Clothing,735,689,Clothing,284,557,Sports,208,905,Electronics,71,698,Books,700,186,Electronics,213,158,Books,738,836,Books,51,228,Sports,665,843,Sports,153,28,Clothing,187,795,Clothing,480,616,Sports,500
Electronics,995,536,Sports,148,896,Books,797,627,Electronics,75,637,Books,44,818,Electronics,84,179,Books,721,695,Books,90,749,Books,746,2,Home,777,658,Books,663,341,Clothing,465,107,Electronics,714,984,Home,812,811,Books,169,469,Home,98,387,Home,443
Clothing,91,925,Clothing,607,490,Electronics,384,839,Electronics,984,636,Books,500,866,Sports,19,79,Sports,113,486,Clothing,85,621,Home,422,704,Home,32,528,Books,604,69,Home,144,496,Home,452,85,Sports,264,352,Home,662,569,Books,506,459,Clothing,652
Sports,411,963,Home,965,794,Books,760,688,Home,939,269,Books,816,586,Books,323,713,Clothing,393,273,Electronics,675,401,Clothing,284,768,Clothing,608,823,Clothing,154,164,Electronics,752,969,Home,902,843,Clothing,325,30,Sports,190,681,Clothing,77,773,Electronics,685
Clothing,8,877,Books,992,340,Clothing,229,794,Books,221,124,Electronics,818,530,Clothing,481,98,Clothing,782,819,Home,254,94,Sports,838,147,Books,394,433,Sports,133,729,Electronics,263,548,Home,215,442,Books,43,114,Clothing,618,259,Books,369,895,Electronics,516
Home,544,580,Sports,948,513,Clothing,795,982,Books,782,748,Clothing,496,10,Electronics,702,25,Home,991,756,Sports,613,784,Sports,738,983,Clothing,317,230,Sports,16,972,Books,854,475,Sports,356,742,Books,429,302,Electronics,630,621,Home,638,868,Home,940
Home,468,370,Electronics,495,961,Sports,836,570,Books,936,831,Books,981,981,Books,996,81,Electronics,568,233,Electronics,240,746,Books,402,825,Books,171,373,Books,12,217,Sports,860,54,Sports,259,467,Clothing,558,629,Books,73,971,Books,217,378,Books,548
Home,320,706,Sports,170,985,Home,675,332,Home,951,654,Sports,187,578,Electronics,78,567,Sports,117,311,Home,459,898,Clothing,425,466,Sports,661,968,Home,67,732,Electronics,653,783,Sports,858,343,Books,232,716,Books,245,926,Electronics,200,354,Clothing,765
Home,394,596,Clothing,723,609,Home,603,408,Electronics,252,713,Electronics,842,9,Home,8,200,Electronics,635,981,Sports,455,204,Books,435,682,Books,36,764,Books,952,198,Clothing,466,992,Sports,658,238,Clothing,151,549,Home,544,223,Electronics,176,683,Books,774
Sports,269,950,Electronics,897,599,Home,723,504,Clothing,827,54,Electronics,91,639,Sports,615,66,Sports,674,29,Electronics,676,228,Books,884,620,Books,911,45,Electronics,699,987,Home,797,889,Sports,888,480,Electronics,746,79,Sports,918,815,Home,963,676,Electronics,33
Books,191,437,Clothing,703,843,Sports,266,694,Electronics,470,426,Books,801,752,Books,510,774,Home,852,992,Electronics,119,653,Sports,688,285,Electronics,297,778,Sports,795,544,Clothing,534,100,Electronics,657,349,Electronics,332,300,Sports,219,132,Electronics,585,575,Books,274
Electronics,861,207,Clothing,7,252,Home,639,626,Clothing,303,934,Home,528,550,Electronics,980,151,Electronics,897,551,Sports,846,349,Sports,220,663,Sports,617,891,Clothing,322,186,Sports,54,265,Home,782,794,Electronics,182,256,Home,216,293,Sports,743,16,Sports,656
Home,675,49,Books,380,364,Books,794,686,Clothing,368,83,Books,127,647,Books,60,50,Books,166,16,Electronics,899,709,Clothing,201,205,Books,524,140,Home,306,488,Clothing,159,659,Books,549,945,Sports,154,367,Books,205,419,Electronics,709,274,Electronics,914
Clothing,61,544,Home,826,527,Home,71,442,Home,930,618,Home,773,771,Home,881,589,Sports,17,36,Home,31,568,Home,922,94,Sports,413,319,Sports,341,658,Electronics,695,112,Clothing,883,285,Books,698,853,Clothing,643,85,Home,464,711,Clothing,692
Home,438,829,Books,854,142,Home,91,989,Books,383,623,Books,728,666,Home,440,865,Sports,888,264,Sports,333,797,Home,133,262,Books,279,291,Home,678,809,Books,649,536,Books,592,758,Electronics,941,877,Home,242,137,Electronics,238,380,Home,445
Clothing,264,682,Books,434,311,Clothing,606,256,Home,896,373,Clothing,428,391,Sports,442,394,Home,400,213,Clothing,778,492,Sports,577,421,Electronics,889,795,Clothing,955,52,Home,697,50,Clothing,156,394,Clothing,676,338,Sports,380,378,Electronics,135,317,Sports,320
Clothing,797,129,Books,34,385,Sports,76,416,Clothing,164,510,Sports,112,116,Electronics,44,291,Sports,354,189,Electronics,306,343,Clothing,563,682,Clothing,570,128,Home,773,404,Home,521,240,Electronics,551,103,Home,640,801,Books,426,615,Home,915,334,Sports,620
Home,95,447,Electronics,563,801,Sports,616,400,Electronics,33,840,Home,219,40,Electronics,637,233,Home,560,742,Home,674,486,Clothing,373,666,Books,245,256,Clothing,717,747,Home,786,614,Electronics,951,691,Books,578,826,Sports,275,223,Clothing,424,775,Clothing,595
Sports,553,614,Home,632,582,Home,445,90,Clothing,359,850,Home,270,601,Electronics,689,342,Sports,306,106,Sports,635,953,Clothing,838,408,Clothing,330,446,Books,192,511,Electronics,232,485,Clothing,162,445,Books,354,287,Clothing,558,479,Books,877,580,Home,397
Clothing,926,35,Home,138,312,Electronics,197,966,Home,191,226,Electronics,970,357,Clothing,854,845,Sports,881,762,Clothing,691,811,Home,198,357,Electronics,851,574,Clothing,751,242,Home,377,346,Electronics,625,539,Electronics,351,49,Home,30,956,Clothing,658,141,Books,338
Clothing,470,819,Electronics,367,279,Clothing,184,961,Electronics,747,292,Home,889,611,Sports,879,453,Books,71,71,Home,152,408,Electronics,583,827,Home,568,131,Sports,157,428,Books,308,506,Clothing,901,429,Clothing,590,29,Sports,320,106,Home,12,54,Books,558
Home,661,199,Books,106,566,Home,77,141,Books,18,9,Clothing,336,686,Home,218,70,Clothing,506,397,Home,501,791,Clothing,957,639,Books,411,283,Sports,739,917,Home,49,949,Sports,573,996,Home,152,448,Sports,993,465,Clothing,368,37,Electronics,682
Clothing,716,813,Books,794,346,Electronics,448,870,Home,406,720,Sports,861,795,Sports,483,873,Sports,169,405,Books,164,999,Electronics,582,741,Electronics,560,690,Books,67,468,Home,997,499,Electronics,884,413,Books,7,346,Books,756,593,Sports,840,627,Clothing,765
Clothing,779,77,Clothing,32,387,Books,297,6,Sports,217,773,Home,975,998,Clothing,432,396,Sports,382,901,Clothing,740,617,Sports,500,847,Home,798,579,Home,940,638,Electronics,986,911,Sports,744,441,Sports,439,753,Home,297,468,Sports,988,146,Books,940
Home,514,369,Clothing,636,302,Clothing,388,742,Clothing,357,755,Electronics,470,739,Electronics,870,599,Electronics,812,645,Sports,142,972,Sports,138,268,Home,53,737,Electronics,384,654,Home,527,719,Electronics,743,696,Books,355,97,Home,112,194,Sports,726,345,Books,472
Home,690,833,Sports,682,764,Sports,322,908,Books,5,655,Sports,875,118,Home,718,177,Home,347,169,Sports,959,145,Home,448,332,Electronics,538,209,Books,867,360,Books,721,565,Clothing,132,469,Books,365,79,Sports,8,798,Clothing,379,978,Electronics,117
Electronics,937,526,Clothing,987,507,Electronics,421,905,Books,288,920,Home,825,71,Electronics,279,107,Sports,399,924,Electronics,246,736,Clothing,555,438,Electronics,231,735,Clothing,899,766,Home,525,388,Books,944,502,Electronics,961,572,Books,104,38,Clothing,499,265,Books,165
Sports,194,349,Home,958,247,Home,546,340,Electronics,372,511,Clothing,70,678,Clothing,562,47,Books,104,609,Electronics,359,279,Electronics,608,25,Electronics,131,691,Sports,970,393,Home,414,15,Home,890,335,Sports,149,41,Home,352,111,Books,389,530,Books,546
Sports,482,506,Electronics,524,646,Electronics,634,827,Home,689,64,Clothing,123,660,Clothing,179,605,Sports,317,59,Sports,219,838,Books,788,394,Electronics,269,416,Electronics,888,384,Sports,868,209,Books,130,462,Clothing,922,641,Sports,392,847,Home,630,58,Electronics,596
Clothing,899,643,Books,168,488,Sports,306,999,Clothing,932,495,Sports,627,727,Electronics,581,607,Home,690,939,Sports,161,882,Clothing,195,389,Home,914,913,Home,453,109,Sports,283,784,Home,589,461,Clothing,553,538,Home,319,824,Electronics,988,289,Electronics,87
Sports,336,238,Sports,855,756,Books,966,219,Sports,585,48,Electronics,815,882,Electronics,897,770,Sports,214,772,Clothing,438,551,Sports,226,545,Sports,691,650,Sports,188,231,Home,452,44,Clothing,731,291,Sports,250,488,Electronics,428,59,Home,671,350,Clothing,246
Clothing,435,280,Clothing,78,921,Electronics,346,579,Clothing,270,939,Clothing,603,477,Books,90,982,Electronics,436,824,Sports,806,770,Sports,13,995,Electronics,107,719,Books,266,432,Electronics,336,934,Books,36,594,Clothing,890,340,Clothing,422,321,Sports,368,953,Home,364
Electronics,196,577,Sports,546,239,Home,715,664,Home,832,167,Books,861,949,Home,271,146,Home,862,852,Home,707,434,Home,849,476,Sports,418,518,Clothing,88,42,Books,880,418,Electronics,200,324,Home,755,395,Sports,894,321,Electronics,482,236,Electronics,533
Home,855,432,Electronics,209,529,Electronics,810,271,Books,544,665,Books,237,438,Home,691,536,Clothing,436,549,Home,411,713,Sports,302,839,Clothing,376,968,Books,860,464,Home,696,945,Electronics,596,558,Sports,17,764,Clothing,47,755,Electronics,227,61,Clothing,350
Home,249,138,Electronics,838,924,Books,641,738,Sports,649,720,Home,220,854,Sports,844,270,Electronics,890,356,Home,100,579,Sports,125,635,Electronics,915,636,Books,306,259,Electronics,198,291,Home,310,232,Electronics,610,274,Books,699,477,Books,139,515,Home,23
Home,498,269,Sports,411,928,Electronics,802,63,Electronics,983,342,Clothing,147,149,Sports,341,38,Books,164,680,Books,32,617,Clothing,858,782,Books,511,286,Sports,779,653,Books,153,922,Electronics,540,999,Sports,999,220,Home,757,179,Home,483,558,Clothing,476
Sports,212,740,Sports,8,349,Books,725,818,Home,621,370,Books,865,234,Clothing,613,41,Home,289,869,Clothing,668,214,Electronics,42,44,Electronics,251,844,Books,227,439,Electronics,164,913,Books,619,467,Books,180,599,Books,526,746,Home,348,884,Clothing,957
Electronics,665,201,Sports,737,791,Books,650,864,Clothing,816,720,Home,62,69,Home,273,546,Books,45,486,Sports,143,763,Clothing,21,631,Electronics,590,351,Home,305,802,Home,934,4,Books,488,684,Clothing,93,882,Books,547,670,Electronics,967,733,Sports,279
Sports,670,142,Books,227,745,Clothing,261,533,Home,820,225,Home,650,168,Clothing,969,68,Sports,585,905,Electronics,861,100,Home,563,746,Clothing,759,362,Home,540,760,Clothing,354,361,Books,497,716,Clothing,628,712,Sports,341,560,Home,612,264,Books,856
Sports,466,612,Home,175,912,Clothing,346,513,Electronics,109,901,Home,56,437,Electronics,641,202,Electronics,2,296,Books,374,687,Home,837,851,Home,733,188,Clothing,182,286,Electronics,509,872,Books,108,688,Electronics,249,349,Home,804,431,Clothing,813,32,Home,723
Electronics,874,650,Clothing,81,352,Home,684,255,Clothing,649,444,Electronics,779,431,Home,256,840,Sports,513,227,Clothing,977,494,Sports,810,163,Sports,920,93,Clothing,156,904,Electronics,188,624,Clothing,865,358,Home,937,948,Books,29,158,Sports,139,664,Clothing,624
Electronics,651,680,Clothing,794,154,Home,659,737,Sports,981,375,Home,236,240,Clothing,95,678,Clothing,512,416,Electronics,522,651,Sports,557,980,Clothing,624,761,Clothing,213,745,Home,291,21,Sports,871,408,Sports,542,970,Clothing,888,553,Books,724,14,Clothing,842
Electronics,221,919,Clothing,57,510,Home,149,126,Clothing,108,263,Electronics,606,747,Books,721,603,Clothing,378,122,Home,236,295,Books,95,254,Home,571,810,Electronics,335,251,Books,400,637,Home,816,899,Clothing,493,755,Home,666,644,Electronics,591,650,Home,398
Electronics,273,611,Sports,135,929,Books,889,779,Clothing,544,146,Books,718,566,Books,84,703,Electronics,326,289,Books,657,46,Sports,575,979,Home,667,996,Home,444,68,Sports,201,534,Clothing,726,70,Sports,393,302,Clothing,35,928,Clothing,851,941,Sports,44
Home,154,823,Sports,238,186,Books,418,451,Electronics,876,128,Home,592,970,Home,53,798,Clothing,342,987,Clothing,857,831,Clothing,12,339,Electronics,82,508,Clothing,49,716,Sports,604,849,Books,79,98,Electronics,976,908,Sports,245,189,Electronics,403,357,Home,493
Books,249,831,Sports,472,944,Clothing,29,406,Clothing,138,774,Books,391,33,Home,772,323,Books,639,118,Home,936,39,Home,217,508,Sports,400,401,Sports,526,776,Books,705,653,Home,679,59,Home,901,120,Home,217,718,Sports,281,560,Sports,864
Books,279,839,Books,217,595,Books,614,714,Home,605,625,Clothing,821,705,Sports,409,551,Sports,431,762,Clothing,512,652,Clothing,265,800,Electronics,273,143,Books,196,548,Sports,646,396,Books,205,125,Home,977,495,Electronics,828,913,Books,993,571,Electronics,361
Electronics,440,938,Books,739,567,Clothing,463,620,Books,482,268,Electronics,836,497,Home,610,413,Sports,832,434,Electronics,173,644,Home,457,684,Home,218,955,Home,647,25,Sports,453,642,Sports,810,981,Electronics,157,366,Home,171,85,Books,880,868,Clothing,678
Books,948,355,Books,26,425,Electronics,808,358,Electronics,726,364,Books,656,868,Sports,391,992,Home,914,60,Home,815,243,Books,570,318,Sports,231,138,Sports,3,621,Electronics,843,956,Sports,486,737,Sports,284,926,Electronics,380,982,Books,48,112,Sports,458
Books,816,578,Books,187,62,Home,976,88,Electronics,69,673,Home,700,848,Books,703,298,Clothing,364,678,Sports,318,564,Electronics,529,507,Home,472,383,Electronics,616,239,Clothing,847,647,Clothing,957,23,Books,504,191,Sports,360,876,Home,341,693,Sports,288
Electronics,276,847,Electronics,882,401,Home,883,391,Electronics,779,482,Books,51,211,Books,91,689,Electronics,354,232,Sports,522,390,Sports,973,72,Clothing,886,71,Electronics,411,311,Clothing,824,432,Home,702,944,Clothing,504,95,Electronics,35,391,Sports,445,137,Clothing,880
Books,514,329,Books,630,870,Sports,766,369,Home,698,789,Home,128,69,Books,386,600,Electronics,822,353,Sports,189,255,Electronics,708,945,Clothing,989,648,Books,382,248,Home,735,6,Sports,791,792,Home,248,960,Home,333,793,Clothing,153,445,Electronics,549
Sports,88,559,Books,709,59,Clothing,786,689,Home,284,698,Sports,227,663,Electronics,301,760,Electronics,291,996,Home,817,695,Books,485,475,Sports,458,690,Electronics,539,137,Books,929,997,Clothing,188,793,Electronics,501,537,Electronics,78,579,Books,353,398,Home,230
Clothing,799,849,Books,116,142,Sports,891,868,Home,344,210,Electronics,905,54,Home,133,348,Sports,827,88,Clothing,254,612,Clothing,133,378,Clothing,381,80,Clothing,404,384,Clothing,273,118,Books,714,295,Clothing,302,357,Sports,243,433,Electronics,770,11,Electronics,165
Clothing,923,894,Clothing,815,466,Home,561,641,Home,162,974,Clothing,945,771,Books,708,351,Sports,292,554,Sports,848,591,Clothing,894,442,Home,662,875,Home,486,488,Home,173,362,Sports,439,103,Sports,228,624,Home,860,911,Electronics,600,858,Books,276
Electronics,642,231,Clothing,614,149,Sports,189,833,Clothing,437,554,Books,292,942,Sports,880,531,Sports,922,785,Sports,709,143,Home,870,161,Books,826,2,Home,144,668,Home,972,810,Sports,345,530,Clothing,855,576,Home,247,540,Clothing,537,190,Clothing,964
Home,505,308,Clothing,892,447,Electronics,65,447,Electronics,618,222,Books,265,818,Sports,195,157,Sports,503,54,Books,104,936,Sports,25,418,Clothing,348,935,Books,174,63,Home,831,299,Home,6,105,Clothing,95,919,Home,231,989,Clothing,301,561,Home,394
